ID,Name,Description,Parent,Level
F.02.06,Interbank Trade Loans,"Capability of the Bank to provide trade loans to other banks. The Bank reviews drawdown requests and documentation, obtains funding, executes payments, advises borrowers. The Bank follows up on rollover and payments.",F.02,3
F.03,Capital Market,,F,2
F.03.01,Financial Instruments Management,"This is the capability to perform reference data management, management of the Securities and Wealth financial instruments. ",F.03,3
F.03.02,Capital Raising,Manage the process to facilitate deals to raise capital ,F.03,3
F.03.02.01,Order Syndication,"Manage the process of syndication (accounting, expenses, disbursements, notifications) across syndicate members to acquire or sell large pool of securities.",F.03.02,4
F.03.03,Access to Exchange Market,Provide access directly to external / 3rd party trading markets,F.03,3
F.03.04,Corporate Action Management,"This is the capability of the bank to process corporate action announcements received from various sources such as issuers, exchanges, Information providers and bank?s internal business units. The capability includes validating, capturing and notifying the clients about the key attributes of the corporate actions such as Ex-date, Record date, Payment date, deadline for elections, entitlement details etc., for various corporate action events across the asset classes .",F.03,3
F.03.04.01,Corporate Action Announcements Monitoring,"This is the capability of the bank to process corporate action announcements received from various sources and Information providers such as issuers, exchanges, and bank?s internal business units. The capability includes capturing and validating action announcements, and notifying appropriate stakeholders.",F.03.04,4
F.03.04.02,Corporate Action Entitlements Management,"This is the capability of the bank to provide the corporate actions entitlement computation for different types of distribution and mandatory exchange events, process customer elections and manage the claims of the customers.",F.03.04,4
F.04,Valuation & Collateral Management,,F,2
F.04.01,Collateral Administration,"This is the capability of the bank to account for collateral in its books and ensure that the collateral is maintained properly. Bank needs to create the necessary legal charge on the collateral, ensure that requirements relating to insurance cover and payment of taxes are taken care of etc. The bank also needs to handle collateral related client request such as, release of collateral, substitution of collateral etc.  Where appropriate, one form of collateral may be substituted with another",F.04,3
F.04.02,Collateral Monitoring,"This is the capability of the bank to ensure that the fluctuations in the value of collateral do not impair the security available to cover the exposure. Based on the periodic review, if the value of collateral has gone below the terms and conditions stipulated for the exposure, the bank decides to call for additional collateral.",F.04,3
F.04.03,Businesses Valuation,"Business Valuation is the capability of the bank to provide client with formal valuations and opinion reports. The capability includes: 
   - Detailed analysis of a balance-sheet, other financial statements, firm?s cash-flows, financial resources, risk exposures, and other available information in order to do an accurate valuation of the target company. 
   - Use of common business valuation approaches such as Asset-based, Earning value, Market value, etc. 
   - Valuation of the company including its non-tangible assets such as goodwill, R&D, brand power, etc.",F.04,3
F.04.04,Securities Valuation,"Securities Valuation is the capability of the bank to perform pricing and valuation of securities contracts, securities positions, open positions or exposures, collaterals, mutual fund assets etc. There are different valuation methods used for different underlying purposes. It includes valuation methods such as Mark-to Market, Net Asset Value, Net Present Value, etc.",F.04,3
F.04.05,Physical Assets Valuation,"Capability for valuation of various types of physical assets such as, property, inventory and stock, machinery etc. The valuation methods can be of multiple types such as, cost based, market price based etc. Valuation considers both; the asset attributes and external attributes. Asset attributes include condition and age of asset. External attributes include surrounding neighborhood in case of homes, market demand for asset and general economic conditions.",F.04,3
F.04.06,Insurable Assets Valuation,Appraisal estimation of the value of an insurable item,F.04,3
F.04.07,Asset Disposal,This is the capability of the bank for disposal of assets seized as collateral (for example: vehicle disposal after accident in insurance policy or at end of the lease),F.04,3
F.05,Financial Portfolio Management,,F,2
F.05.01,Portfolio Monitoring & Administration,Provide integrated administration and monitoring of investment portfolio,F.05,3
F.05.02,Portfolio Modeling,"This is the capability of the bank to define and maintain models (investment models, financial planning, lending). Portfolio Models provide templates that aid in the creation of the optimum mix of products both from client and bank?s perspective",F.05,3
F.05.03,Portfolio Evaluation,This is the capability of the bank to track the performance of the portfolio against the stated objective. The performance of the portfolio is also evaluated against a benchmark.,F.05,3
F.05.04,Portfolio Optimization,Provide tools and services to optimize performance of the investment portfolio,F.05,3
F.06,Trade Research,,F,2
F.06.01,Trade Recommendations Generation,"Provide research and advisory services including recommendations to buy, hold or sell",F.06,3
F.06.02,Quantitative Models Development,"It is the capability of the bank to provide client with quantitative models to analyze historical trends and forecast projected returns for different categories of asset classes. The capability includes: 
   - Having charts / detailed reports to view returns information on specific instrument / asset class for any fractile or time-period. 
   - Having trade models to simulate trades recommendations before they are executed.
This capability may draw on the Bank's analytic capabilities (cf. Manage Analytics & Reporting) to assist.",F.06,3
F.06.03,Fundamental Research,"It is the capability of the bank to carry out in-depth financial and economic analysis of target instrument / asset class / sector / market, based on fundamentals and external environment. It includes producing sector or market specific reports that help the firm?s trading desk to devise trading strategies and recommendations by publishing reports in leading industry journals / forums and providing macro-economic outlook to regional sales and trading. This capability may draw on the Bank's analytic capabilities (cf. Manage Analytics & Reporting) to assist.",F.06,3
F.06.04,Macro-Economic Outlook Development,"It is the capability of the bank to analyze the macro economic outlook and provide recommendations for investment strategies. It includes: 
   - Detailed study of economic and geo-political environment prevailing in the target market. 
   - Analyze the correlation between economic environment of target market and other important markets and draw inferences. 
   - Study the regulatory norms and its corresponding impact on the market. 
   - Forecast the generic trend of investment in the market by various entities (Government, FIs, Retail, etc.). 
   - Recommend the investment strategies for regional sales/trading based on overall investment outlook of the region.
This capability may draw on the Bank's analytic capabilities (cf. Manage Analytics & Reporting) to assist.",F.06,3
F.07,Collection & Recovery,,F,2
F.07.01,Delinquency & Default Management,"This is the capability of the bank to manage defaults on the given loans. When an account becomes delinquent, the bank needs to take a decision on whether to continue or recall the loan and initiate suitable rehabilitation measures or legal proceedings to recover the dues or dispose of the collateral available.",F.07,3
F.07.02,Credit Collections,"Collection Management is the capability of the bank to recover the past due loans and delinquent loans / loans under default. The bank initiates various measures to recover the loan including disposal of assets / collateral, suit filing etc.",F.07,3
F.07.03,Credit  Recovery,The Recovery Management is the capability of the bank to initiate steps to recover monies due from delinquent loans through legal action or sale of collateral. The bank decides to initiate recovery measures if it is unlikely that loan would become a performing asset again or if the borrower is a willful defaulter.,F.07,3
F.08,Advisory Services,,F,2
F.08.01,Global Trade Advice,"Capability of the bank to provide advisory services to its clients on commercial processes relating to imports / exports, managing the risks involved based on country risk assessment, counter party risk assessment, transaction risk assessment etc. The bank uses its trade transactions knowledge, based on dealing with a wide variety of clients and its correspondent banking network, for getting information from foreign counterparties to advise its clients on how to structure the import / export transactions.",F.08,3
F.08.02,Trust Advice,"The capability of bank to assist a client in setting up the Trust. The bank assists in structuring the Trust Deed, planning the inheritance taxes, complying with the necessary legal requirements etc.",F.08,3
F.08.03,Tax Advice,"The capability of bank to 
   - Maintain the information on tax regulations, 
   - Interpret and apply the regulations, 
   - Develop tax strategies
   - Plan investment as per the tax strategies.",F.08,3
F.08.04,Estate Advice,Estate Management is the capability of the bank to provide estate related services for Private Trust clients and Institutional Trust clients. These services include Estate Planning services and Estate Execution services.,F.08,3
F.08.05,Merger & Acquisition Advice,"This capability enables the bank to provide advisory services to the clients for mergers and acquisitions. The capability includes: 
   - Providing market research/ analysis and industry expertise for supporting the M&A activities 
   - Providing the Strategy Development and Restructuring services 
   - Valuating businesses for M&A 
   - Advising and assisting the clients in evaluating and selecting the offers 
   - Performing Due Diligence and Contract Management Services",F.08,3
F.08.06,Capital Structuring Advice,"It is the capability of the bank to advise the clients on overall capital structure, the desired mix of short, medium and long-term financing to provide capital efficiency and flexibility. The capability also covers advising the client on the financing structure, tenure, timing and other important aspects of capital originations before bringing them to market.",F.08,3
F.08.07,Financial Planning,"This capability enables the bank to provide advisory services to the clients by drawing up an investment plan to meet their short term and long term financial objectives like Asset Purchase, Retirement Planning , Education Savings planning etc. The capability includes: 
   - Analyzing the financial needs/ objectives of the client 
   - Assessing of the client's current financial position 
   - Understanding the client's risk appetite 
   - Identifying the gaps in meeting the desired financial objectives matching the client's current financial position and drawing up an investment plan to address these gaps.",F.08,3
F.09,Transaction Management,,F,2
F.09.01,Order & Trade Management,The ability of the Bank to manage orders for and trading in financial securities.,F.09,3
F.09.01.01,Order Management,"Capture customer orders for sales and trading, create orders. Route orders. Settle orders, allocate orders.",F.09.01,4
F.09.01.02,Pre-Trade Analysis,"The capability of the bank to provide tools to assist in determining how a particular trade can be executed to fetch the best execution for the client, for example market venue aggregation. ",F.09.01,4
F.09.01.03,Trades Management,"Trade Management is the capability of the bank to perform trade confirmations, allocate trades to different portfolio accounts or customer accounts and enrich trades with settlement and other details before initiating the settlement.",F.09.01,4
F.09.01.04,Securities Lending / Borrowing,This is the capability of the bank to manage the securities lending / borrowing contracts with lenders and borrowers and to record the security loan details.,F.09.01,4
F.09.01.05,Security Inventory Position Reconciliation,"This is the capability to match the inventory of securities and derivatives positions as per the bank?s books and records with the records of counterparties, custodians and depositories.",F.09.01,4
F.09.01.06,Position Keeping,Provide and manage current and historical view into security positions and portfolio balances of clients.,F.09.01,4
F.09.01.07,Limit Verification,Manage the process to maintain and verify credit limits in an integrated fashion across client product portfolio.,F.09.01,4
F.09.02,Clearing & Settlement,The ability of the Bank to participate in payment networks (electronic or otherwise) to facilitate the routing of payments and settlement against other participants.,F.09,3
F.09.02.01,Securities Clearing,The capability of the bank to process clearing of trades and determining the net obligations to be settled with the clearing house or counterparty.,F.09.02,4
F.09.02.02,Securities Settlement,The capability of the bank to settle trades with the clearing house or counterparty.,F.09.02,4
F.09.02.03,Payments Clearing,The capability of the bank to manage clearing of payment transaction ,F.09.02,4
F.09.02.04,Payments Settlement ,"The capability of the bank to carry out settlement of payment transaction with the counterparty bank (payee?s bank, in case of incoming payment order, and beneficiary?s bank, in case of an outgoing payment order) by settling the funds through Nostro account.",F.09.02,4
F.09.03,Payments,This is the bank's capability to originate and authorize and maintain information about payments.  This includes transfer of funds between accounts of the same customer.,F.09,3
F.09.03.01,Payment Origination,The ability to capture payment instructions,F.09.03,4
F.09.03.02,Payment Authorization,The ability to authorize the execution of a payment above and beyond simply ensuring that the client is authorized to issue the instructions,F.09.03,4
F.09.04,Transactions Reconciliation,Capability of the bank to reconcile the accounting values of a transaction and ensure that transaction is correctly booked in books and records. This is required to ensure that the bookings are carried out correctly to various accounts and the books are balanced.,F.09,3
F.09.05,Basic Transaction Processing,"This is the capability to perform daily operations on client account like deposits, withdrawals, etc.",F.09,3
F.09.06,Billing,"This is the bank's capability to generate bill as per the client's billing profile and billing frequency. Bill generation will take its input from product pricing, pricing determined during sales, account transaction history and ?loyalty' profile of the client.",F.09,3
F.09.07,Claims Management,"This is the capability of providing benefits to a claimant under the terms of insurance contract. The insurance division needs to assess the loss and pay the claimant as per the policy?s terms and conditions. The factors and procedures for handling claims for different LOBs of insurance are different. For example, there is no claim recovery (salvage or subrogation) while processing a life claim.",F.09,3
F.09.07.01,Claims Evaluation,This is the capability to monitor the handling of individual claims to assure adherence to rules and guidelines and identify opportunities for increasing claims handling skills. This includes the capability to conduct claim leakage reviews.,F.09.07,4
F.09.07.02,Claims Settlement,"This is the capability of obtaining acceptance from the claimant on claim settlement amount, administering the payment to the claimant, completing all the documentation and correspondences and closing the claims file.",F.09.07,4
F.09.07.03,Claims Investigation,Manage activities associated with claims investigation.,F.09.07,4
F.09.07.04,Claims Recovery,This is the ability to obtain funds that offset the cost of benefits provided for a claim from the external parties that may have shared liability for the loss or that may purchase assets that become the property of the insurer as a result of the claim settlement.,F.09.07,4
F.09.08,Escrow Management,Capability of the bank to act as an independent third party for fund collection and disbursement to appropriate parties. ,F.09,3
F.09.09,Deposit Collections,Manage activities associated with collections across different deposit offerings,F.09,3
F.09.10,Deposit Disbursement,Manage deposits disbursement process to different parties,F.09,3
E,Enterprise Governance & Management,,TD,1
E.01,Business Strategy & Performance Management,,E,2
E.01.01,Vision & Mission Development,Vision Development is the capability of the bank to define its long term objectives and strategic positioning in the market. The Mission Statement of the bank defines the medium term goals that are aligned to achieve the long term objectives.,E.01,3
E.01.02,Business Policy Development,The capability of the bank to develop the operational policies as a guideline to the operating units and employees for conducting the business.,E.01,3
E.01.03,Environmental Sustainability Management,This is the capability to manage and monitor the programs executed by the bank that support environmental sustenance. It involves building awareness amongst the bank?s employees and partners.,E.01,3
E.01.04,Business & Change Strategy,"This is the capability of defining and detailing the business strategies for achieving the medium and long term business objectives and define high level goals, to enable an overall approach to adapt the organization to business growth and future state.",E.01,3
E.01.05,Business Plan Development,This is the bank?s capability to create a business plan in terms of business goals to be achieved and to time the plan for achieving these business goals. Business Plan can be created at multiple operating unit levels and aggregated at the enterprise level. ,E.01,3
E.01.05.01,Demand Management,This is the ability to track the damand for internal resources such as people and money.,E.01.05,4
E.01.05.02,Supply Management,The ability to track and manage the supply of resources such as people and money.,E.01.05,4
E.01.06,Strategic Initiatives Management,"Capability of the bank to identify and implement the strategic plans like new business development, organizational restructuring, executing planned change, training the personnel, conducting stakeholder alignment, succession planning etc., that need to be initiated to meet its medium and long term objectives.",E.01,3
E.01.07,Business Performance Measurement,"Performance Measurement is the capability of the bank to measure the actual performance of the organization or the operating units and compare it with the budgeted performance, to monitor the operational efficiency, and  measuring change effectiveness.",E.01,3
E.01.08,Business & Strategic Architecture,"This includes establishing a common framework consisting of business, information, data, application and technology architecture layers for effectively and efficiently realising enterprise and IT strategies by creating key models and practices that describe the baseline and target architectures, define requirements for taxonomy, standards and guidelines.",E.01,3
E.01.09,Organization Profitability Analysis,"Perform profitability analysis around product from various perspectives such as demographics, market segment, client segment or channels",E.01,3
E.01.10,Business Policy Management,The ability to develop and manage appropriate business policies for the operation of the organization.,E.01,3
E.01.11,Business Rules Management,The ability to develop and manage the detailed business rules,E.01,3
E.02,Business Intelligence & Reporting,,E,2
E.02.01,Analytics ,"Capability to provide and manage business intelligence and aggregates all analytic exercise that bank performs at any level of the organization such as marketing analytics, sales analytics, service analytics, interactive channel analytics, product analytics, risk analytics, client relationship analytics, client attrition analytics, client behavioral analytics, pricing analytics, transaction analytics, actuarial analytics, buy / hold analysis, etc.",E.02,3
E.02.01.01,Unstructured Data Analytics,"The capability of the bank to mine information contained in unstructured data such as documents, text files, emails.",E.02.01,4
E.02.01.02,Forecasting,The capability of the bank to analyze and predict future outcomes based on patterns in historical data ,E.02.01,4
E.02.01.03,Modeling,"The capability of the bank to create, manage and deploy analytical models for all products and business lines, as well as performing predictive and simulation modelling.",E.02.01,4
E.02.01.04,Collaborative Decision Support,"Provide services to share content, predictive models and analytical data to facilitate collaborative decisioning",E.02.01,4
E.02.01.05,Operations Research,"The capability of the bank to leverage optimization, project scheduling and simulation techniques to identify actions that will improve business operations.",E.02.01,4
E.02.02,Operational Reporting,The capability of the bank to generate reports necessary to support the day-to-day operations of the organization in a format and structure targeted for specific audiences.,E.02,3
E.02.03,Research,The ability to perofrm industry research,E.02,3
E.03,Risk Management,,E,2
E.03.01,Risk Identification & Assessment,"Manage the process to identify and assess  risks. The capability of the bank to identify and quantify the risk relating to its business. Broadly there are three distinct categories of risks the bank has to deal with. These are the risks relating to: 
   - Bank?s exposure to its counterparties on account of loans given, investments made, transactions not being settled etc. 
   - Behavior of market variables like interest rates and exchange rates on its assets
   - Failure / non-compliance of internal controls relating to people, policies and processes",E.03,3
E.03.02,Risk Evaluation & Prioritization,"The capability of the bank to define parameters for risk probability and impact, and prioritize based on the risk score.",E.03,3
E.03.03,Risk Clustering,Provide capability to group or pool risk assessment into different clusters such as products or client profiles or market segments,E.03,3
E.03.04,Risk Mitigation Strategies & Controls,"The capability to define a formal approach to reduce risk, and to determine risk control methods across the business.  Covers ability of the bank to implement and execute a set of systems and processes to monitor the risk from its business activities on a continuous basis and effectively control its risks to minimize the unexpected losses. This includes comprehensive reporting, putting in place effective exposure control measures such as limits, taking cognizance of any changes in the market variables which affects the value of its investments or collaterals, testing of its risk identification and measurement processes on a continuous basis and providing for extreme scenarios.",E.03,3
E.03.05,Credit Risk Management,Provide capability to monitor and mitigate credit risk,E.03,3
E.03.06,Market Risk Management,Provide capability to monitor and mitigate market risk,E.03,3
E.03.07,Operational Risk Management,Provide capability to monitor and mitigate operational risk. This also includes Business Continuity Planning and Disaster Recovery. ,E.03,3
E.03.08,Risk Scorecards Management,Manage the process to rank risk ratings (scores),E.03,3
E.04,Anti-Money Laundering (AML),,E,2
